LEName,WellName,CorpID,ForecastGeneratedFrom,Wedge,LE_Date,Update_Date,Update_User
SoHaFebruaryForecast,Koala 6 H B,14367479-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:40.000,Travis Comer
SoHaFebruaryForecast,Wallaby 3 H,14367849-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:58.000,Travis Comer
SoHaFebruaryForecast,Wallaby 3 H B,14368525-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:51:00.000,Travis Comer
SoHaFebruaryForecast,Velo 1 H,14374279-001,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:56.000,Travis Comer
SoHaFebruaryForecast,Titan 2 H R,14374999-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:50.000,Travis Comer
SoHaFebruaryForecast,Velo 1 H B,14376193-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:57.000,Travis Comer
SoHaFebruaryForecast,Stego 1 H,14376194-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:44.000,Travis Comer
SoHaFebruaryForecast,Kanga 2 H,14376244-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:03.000,Travis Comer
SoHaFebruaryForecast,Kanga 2 H B,14376245-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:04.000,Travis Comer
SoHaFebruaryForecast,Mississippi 1 H,14376246-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:21.000,Travis Comer
SoHaFebruaryForecast,Proteus 1 H,14379956-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:41.000,Travis Comer
SoHaFebruaryForecast,Koala 2 H,14379960-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:23.000,Travis Comer
SoHaFebruaryForecast,Wombat 3 H B,14381121-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:13.000,Travis Comer
SoHaFebruaryForecast,Trex 3 H B,14381815-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:54.000,Travis Comer
SoHaFebruaryForecast,Dracorex 2 H,14384752-000,,Base,2020-02-01 00:00:00.000,2020-01-30 13:50:34.000,Travis Comer
SoHaFebruaryForecast,Dracorex 2 H B,14384753-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:02.000,Travis Comer
SoHaFebruaryForecast,Sugar Glider 2 H,14385259-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:10.000,Travis Comer
SoHaFebruaryForecast,Sugar Glider 2 H B,14385419-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:12.000,Travis Comer
SoHaFebruaryForecast,Titan 2 H B,14396384-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:07.000,Travis Comer
SoHaFebruaryForecast,Allosaurus 3 H,14402359-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:14.000,Travis Comer
SoHaFebruaryForecast,Allosaurus 3 H B,14402559-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:16.000,Travis Comer
SoHaFebruaryForecast,Denali 3 H B,14404208-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:17.000,Travis Comer
SoHaFebruaryForecast,Ttops 2 H,14404359-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:19.000,Travis Comer
SoHaFebruaryForecast,Rockies 4 H B,14406376-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:09.000,Travis Comer
SoHaFebruaryForecast,Bronto 3 H,14412265-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:29.000,Travis Comer
SoHaFebruaryForecast,Bronto 3 H B,14412447-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:30.000,Travis Comer
SoHaFebruaryForecast,Pluto 2 H B,14429980-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:20.000,Travis Comer
SoHaFebruaryForecast,Callisto 2 H B,14443485-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:26.000,Travis Comer
SoHaFebruaryForecast,Roo 2 H,14448851-000,,2020 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:31.000,Travis Comer
SoHaFebruaryForecast,Europa 1 H,14452960-000,,2019 NWD,2020-02-01 00:00:00.000,2020-01-30 13:51:27.000,Travis Comer
SoHaFebruaryForecast,Dracorex 1H,14453509-000,,,2020-02-01 00:00:00.000,2020-01-30 13:51:33.000,Travis Comer
SoHaFebruaryForecast,2018 NWD Unplanned 3PG,2018 NWD Unplanned 3PG,,,2020-02-01 00:00:00.000,2020-01-30 13:51:58.000,Travis Comer
SoHaFebruaryForecast,2018 NWD Unplanned Ops,2018 NWD Unplanned Ops,,,2020-02-01 00:00:00.000,2020-01-30 13:51:54.000,Travis Comer
